zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,value_sqft,lot_sqft,year_built,last_sold_date,last_sold_price
29609674.0,9417 Altona Way,78717,30.487015000000003,-97.762408,428327.0,-592.0,466876.0,402627.0,3286.0,130.35,9365.0,1999.0,,
29369390.0,11709 Oak Knoll Drive,78759,30.424702000000003,-97.761513,371145.0,7052.0,389702.0,352588.0,1600.0,231.97,8812.0,1975.0,,
144361319.0,14230 Fitzhugh Road,78736,30.242031,-98.013379,530383.0,14629.0,599333.0,503864.0,1510.0,351.25,504691.0,1960.0,,
29471895.0,7406 Williamson Road,78610,30.043481,-97.731288,365654.0,5679.0,420502.0,288867.0,1550.0,235.91,189747.0,1972.0,,
63228169.0,11613 Mill Ridge Trace,78653,30.358221,-97.54413100000001,300163.0,1513.0,318173.0,282153.0,3057.0,98.19,9257.0,2004.0,,
80087345.0,901 Golden Palomino Court,78732,30.353855,-97.901546,460303.0,-3763.0,483318.0,437288.0,2956.0,155.72,9993.0,2006.0,,
144352225.0,9910 Peterson Road,78617,30.100517,-97.633985,832308.0,-51334.0,1348339.0,557646.0,728.0,1143.28,4312440.0,1997.0,,
29481920.0,10604 Oliver Circle,78736,30.228595000000002,-97.944544,509747.0,-3364.0,535234.0,484260.0,2760.0,184.69,130680.0,2002.0,,
29458294.0,20801 Trotters Lane,78660,30.491376000000002,-97.57997900000001,232424.0,5534.0,246369.0,220803.0,1660.0,140.01,8716.0,1994.0,,
29374133.0,9410 Topridge Drive,78750,30.434561,-97.797364,490947.0,-3606.0,515494.0,461490.0,2622.0,187.24,12153.0,1983.0,,
29341202.0,3217 Lating Stream Lane,78746,30.317802,-97.785319,1121521.0,12875.0,1177597.0,1031799.0,4432.0,253.05,18138.0,1999.0,,
29402664.0,6613 Greensboro Drive,78723,30.307005,-97.662965,373932.0,5751.0,407586.0,336539.0,1689.0,221.39,9927.0,1969.0,,
29329572.0,11201 Solitary Fawn Trail,78735,30.296453999999997,-97.917115,1060026.0,4874.0,1144828.0,975224.0,4844.0,218.83,46217.0,2001.0,,
70334786.0,7012 Doyal Drive,78747,30.151836,-97.737882,218885.0,160.0,229829.0,207941.0,1665.0,131.46,3598.0,2005.0,,
29392790.0,1712 Adina Street,78721,30.281868,-97.680627,272530.0,-9982.0,286156.0,250728.0,1080.0,252.34,7305.0,1970.0,,
29347491.0,4407 City Park Road,78730,30.356610999999997,-97.826757,776046.0,1754.0,853651.0,698441.0,2919.0,265.86,122055.0,1977.0,,
29514532.0,2716 Arroyo Blanco Cove,78748,30.155409000000002,-97.851394,409024.0,2536.0,429475.0,388573.0,2841.0,143.97,11979.0,1999.0,10/31/2016,
29410961.0,7105 Northeast Drive,78723,30.321213,-97.678712,387619.0,7169.0,410876.0,356609.0,1744.0,222.26,13412.0,1965.0,,
202151883.0,85 Country Oaks Drive,78610,30.116677000000003,-97.886274,478930.0,8719.0,522034.0,445405.0,2209.0,216.81,218236.0,1985.0,,
28604932.0,204 Mandan Street,78610,30.079141999999997,-97.839185,207335.0,-4571.0,230142.0,192822.0,1369.0,151.45,,,,
79980448.0,9608 Derecho Bend,78737,30.222492,-97.93370999999999,469157.0,-10828.0,492615.0,445699.0,2350.0,199.64,43560.0,2006.0,06/18/2018,
60136457.0,13113 Country Lake Drive,78732,30.375562,-97.902388,655083.0,760.0,700939.0,596126.0,3962.0,165.34,30300.0,2002.0,07/12/2013,
60136673.0,2724 Zambia Drive,78613,30.472109999999997,-97.855542,479967.0,-2708.0,503965.0,455969.0,3805.0,126.14,11186.0,2002.0,,
144980837.0,11811 Arnhamn Lane,78653,30.380431,-97.522848,203032.0,7273.0,221305.0,186789.0,1478.0,137.37,43560.0,1982.0,06/09/2016,412500.0
116080915.0,14399 Montour Drive,78717,30.484543,-97.795501,583030.0,-461.0,623842.0,518897.0,3557.0,163.91,8973.0,2014.0,,
58317307.0,1116 Canon Yeomans Trail,78748,30.154372,-97.82706999999999,286697.0,-4.0,301032.0,272362.0,1860.0,154.14,6634.0,2000.0,,
144291430.0,12700 Sparks Road,78653,30.388275,-97.503637,899825.0,-17238.0,1241759.0,638876.0,1552.0,579.78,4474178.0,1955.0,,
58306383.0,3811 Tarragona Lane,78727,30.415177000000003,-97.722098,373658.0,339.0,392341.0,354975.0,1830.0,204.18,10276.0,1980.0,,
58297816.0,1601 Acacia Bud Drive,78733,30.314017,-97.896431,876036.0,-23647.0,972400.0,832234.0,4457.0,196.55,11857.0,2001.0,,
125890399.0,9708 Schmidt Lane,78653,30.407528000000003,-97.536172,617669.0,1616.0,691789.0,525019.0,4468.0,138.24,392432.0,2012.0,,
29496033.0,4412 Corran Ferry Loop,78749,30.203132,-97.85215,355722.0,-2191.0,373508.0,323707.0,2023.0,175.84,7061.0,2000.0,10/30/2005,
29471395.0,9916 Horizon Lane,78719,30.105269,-97.679548,323793.0,-5290.0,372362.0,294652.0,2302.0,140.66,175547.0,1970.0,,
29455053.0,16901 Gravesend Road,78660,30.460506,-97.64203,217419.0,1404.0,228290.0,206548.0,1696.0,128.2,6425.0,1992.0,02/08/1993,95710.0
83815835.0,3510 Pawnee Pass,78738,30.330992,-97.97825,1132434.0,-6991.0,1200380.0,1030515.0,4367.0,259.32,140742.0,2005.0,,
29432179.0,10403 Golden Quail Drive,78758,30.377924,-97.70218299999999,287530.0,2155.0,301906.0,267403.0,1414.0,203.35,8581.0,1974.0,,
64611976.0,11905 Lime Creek Road,78641,30.483423,-97.88279399999999,306742.0,-463.0,361956.0,282203.0,2024.0,151.55,86745.0,1980.0,,
29438527.0,12196 Running Bird Lane,78758,30.406633000000003,-97.695707,302438.0,2902.0,317560.0,278243.0,1936.0,156.22,12737.0,1984.0,,
80100664.0,7705 Huddleston Lane,78745,30.188366,-97.79844,350536.0,3072.0,368063.0,325998.0,2506.0,139.88,5950.0,2010.0,04/05/2015,
29352403.0,108 Duck Lake Drive,78734,30.359757000000002,-97.977363,416506.0,2575.0,437331.0,395681.0,2332.0,178.6,631858752.0,1999.0,,
29553994.0,1902 Shadowbrook Circle,78681,30.490701,-97.705277,422221.0,3484.0,451776.0,401110.0,3093.0,136.51,30492.0,1990.0,,
29479398.0,7807 Callbram Lane,78736,30.233019,-97.89403399999999,357472.0,10728.0,375346.0,328874.0,1719.0,207.95,10528.0,1993.0,,
29494808.0,7101 Cherry Meadow Drive,78745,30.199178999999997,-97.803962,200909.0,-2197.0,229036.0,178809.0,940.0,213.73,5711.0,1971.0,,
70354255.0,11620 Shadow Creek Drive,78653,30.361849,-97.54993,241949.0,-1079.0,254046.0,229852.0,2031.0,119.13,6935.0,2009.0,,
58299379.0,8320 Adirondack Trail,78759,30.379641999999997,-97.757069,560484.0,-113.0,588508.0,532460.0,2687.0,208.59,9191.0,1993.0,,
144974070.0,12132 Parsons Road,78653,30.328222999999998,-97.507707,375282.0,28929.0,416563.0,334001.0,3417.0,109.83,43560.0,1986.0,,
29471661.0,7100 Verde Court,78610,30.063327,-97.714443,164458.0,5052.0,180904.0,146368.0,2128.0,77.28,32670.0,1997.0,,
64818530.0,1100 Teapot Drive,78660,30.423237,-97.64125899999999,231487.0,6973.0,243061.0,219913.0,1590.0,145.59,6141.0,2003.0,,
144994497.0,11502 Bonham Lane,78736,30.236453000000004,-98.004138,601338.0,-3629.0,697552.0,517151.0,1632.0,368.47,1174813.0,1994.0,,
29447558.0,14509 Crystal Court,78728,30.439805,-97.676659,300683.0,-1418.0,315717.0,285649.0,1584.0,189.83,13547.0,1984.0,,
70356944.0,13304 Sleepy Hollow Road,78736,30.247939000000002,-97.991176,772356.0,-616.0,834144.0,695120.0,3814.0,202.51,414299.0,1995.0,,
144991556.0,8009 Sassman Road,78747,30.138627000000003,-97.725617,265284.0,8843.0,278548.0,249367.0,1751.0,151.5,87120.0,1974.0,,
144352194.0,11935 Von Quintus Road,78719,30.101807,-97.67903199999999,252031.0,36987.0,264633.0,229348.0,1734.0,145.35,85378.0,1973.0,03/29/2018,960000.0
83822003.0,16116 Voelker Lane,78621,30.346984000000003,-97.465034,445759.0,709.0,494792.0,361065.0,3071.0,145.15,159473.0,2004.0,,
