Unnamed,Latitude,Longitude,School_Name,School_Address,School_Rating,zipcode
447,30.035753,-97.803693,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
295,30.035846,-97.706319,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
1638,30.037056,-97.815202,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
354,30.037058,-97.815582,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78745
5860,30.037544,-97.814825,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
1841,30.038571,-97.705847,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
307,30.038903,-97.744753,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
3042,30.039405,-97.811483,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
5877,30.040244,-97.707188,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
4524,30.040686,-97.816901,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
545,30.040866,-97.706463,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78758
4145,30.040927,-97.83556,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
2629,30.041447,-97.829447,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
325,30.042248,-97.700967,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
609,30.042264,-97.709773,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78734
724,30.042275,-97.699767,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
5130,30.042976,-97.822754,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
38,30.043481,-97.731288,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78758
4309,30.045619,-97.705657,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2279,30.045716,-97.696421,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
5292,30.045823,-97.810333,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
6522,30.045823,-97.810333,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
1296,30.046628,-97.721439,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
4976,30.046701,-97.713428,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
7615,30.051538,-97.689049,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
85,30.051538,-97.689049,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
3149,30.052222,-97.693717,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
5844,30.054344,-97.712448,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2034,30.054678,-97.819648,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4,78640
5840,30.054836,-97.685922,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78748
5840,30.054836,-97.685922,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4506,30.054964,-97.68882,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2000,30.055826,-97.732058,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4370,30.055908,-97.725469,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
7163,30.056488,-97.71546,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2523,30.058057,-97.730497,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
5088,30.058204,-97.719173,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
942,30.058936,-97.680894,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78750
942,30.058936,-97.680894,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78750
1480,30.05926,-97.735519,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4380,30.060721,-97.73727,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
7859,30.06098,-97.672176,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78617
2509,30.061478,-97.715812,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2188,30.061759,-97.736035,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4053,30.061852,-97.712563,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4373,30.061985,-97.718323,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2688,30.062168,-97.716454,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1555,30.062244,-97.706045,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6857,30.062344,-97.703827,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4958,30.062598,-97.74015,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1399,30.063019,-97.731419,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
80,30.063327,-97.714443,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78745
145,30.063737,-97.560917,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78664
5919,30.064866,-97.712284,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6829,30.064975,-97.718844,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6913,30.065061,-97.736528,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
541,30.066596,-97.674533,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78660
541,30.066596,-97.674533,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78660
7165,30.066603,-97.7289,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6726,30.066723,-97.738574,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
850,30.067202,-97.757129,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78749
5614,30.067477,-97.760287,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2142,30.068369,-97.732692,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1732,30.068756,-97.753218,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4385,30.068824,-97.780572,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1417,30.068841,-97.702276,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
995,30.069273,-97.751754,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
790,30.069802,-97.730223,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78734
1733,30.070828,-97.758456,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
8487,30.071207,-97.601422,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78617
2852,30.071378,-97.729494,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4151,30.071576,-97.737006,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
5658,30.072417,-97.753573,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4267,30.072464,-97.726821,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
547,30.072851,-97.743168,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78703
209,30.073727,-97.641486,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78738
209,30.073727,-97.641486,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78738
1364,30.073769,-97.729609,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4551,30.074575,-97.541506,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
2387,30.076902,-97.715838,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1977,30.077018,-97.777316,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
3340,30.077022,-97.738127,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1231,30.077143,-97.753147,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
221,30.078327,-97.77888,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
115,30.079349,-97.751428,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78746
6496,30.081479,-97.754661,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
8496,30.081576,-97.638282,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78617
5419,30.081998,-97.696657,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
977,30.082359,-97.779996,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
861,30.082414,-97.658839,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78745
861,30.082414,-97.658839,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78745
5,30.082419,-97.664366,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78748
5,30.082419,-97.664366,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78748
7535,30.082832,-97.758492,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
5,30.082832,-97.758492,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
783,30.08306,-97.700139,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78753
6147,30.083225,-97.703179,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
833,30.084477,-97.662339,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78750
833,30.084477,-97.662339,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78750
2244,30.084822,-97.702447,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
7501,30.085443,-97.703842,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1086,30.087008,-97.695545,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6490,30.087171,-97.529365,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
4896,30.087747,-97.705204,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
3014,30.088117,-97.767589,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
3014,30.088117,-97.767589,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
4971,30.088476,-97.757355,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
4971,30.088476,-97.757355,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6566,30.088567,-97.769618,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
6566,30.088567,-97.769618,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6747,30.088826,-97.757131,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
6747,30.088826,-97.757131,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1130,30.088853,-97.770208,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
1130,30.088853,-97.770208,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
