alat,alon,year_built
30.308927,-97.89547,1996
30.497203,-97.893085,2000
30.192445,-97.936777,1985
30.322246,-97.543391,1976
30.354862,-97.985449,2000
30.310654,-97.923462,1995
30.439951,-97.635437,1986
30.289209,-97.819391,1994
30.22624,-97.630832,1984
30.360134,-97.63848,2005
30.25122,-97.556973,2000
30.297615,-97.76511,2010
30.470705,-97.778021,1982
30.122444,-97.830406,1980
30.326024,-97.765082,1955
30.142666,-97.598715,2015
30.127313,-97.627132,1987
30.317786,-97.831816,1999
30.488584,-97.580731,1979
30.296466,-97.811094,1982
30.545721,-97.80662,1982
30.150327,-97.737989,2003
30.372195,-97.730648,1969
30.129177,-97.646425,1978
30.298609,-97.482155,2007
30.347232,-97.954902,2007
30.165527,-97.766492,1980
30.355006,-97.889229,2004
30.425188,-97.813231,2001
30.410545,-97.936304,1940
30.473703,-97.655205,2002
30.36074,-97.734999,1967
30.433745,-97.629473,1994
30.34326,-97.998592,1996
30.245106,-97.558013,1984
30.304101,-97.688652,1959
30.405197,-97.924198,2003
30.340076,-97.813207,1980
30.234128,-97.585467,1999
30.228638,-97.954872,2002
30.136723,-97.661962,1979
30.519695,-97.712518,1991
30.13817,-97.553373,1986
30.338891,-97.556626,1992
30.291211,-97.89989,1986
30.485808,-97.548504,1996
30.115179,-97.67404,1999
30.416286,-97.691808,1981
30.474404,-97.566496,2018
30.114086,-97.704758,1977
30.406867,-97.629768,1972
30.182429,-97.860524,1993
30.347164,-97.690333,1977
30.281308,-97.935216,1997
30.136692,-97.5809,1982
30.302261,-97.47866,1975
30.304407,-97.956248,1996
30.47037,-97.649325,1992
30.326277,-97.772784,1957
30.459363,-97.919283,2002
30.435939,-97.872681,2009
30.440137,-97.650887,1974
30.244784,-97.919392,1982
30.364312,-97.969846,2001
30.317849,-97.814495,1998
30.242995,-97.763441,2007
30.359994,-97.992013,1980
30.471392,-97.854977,2001
30.152985,-97.737266,2002
30.200303,-97.78921,1969
30.257111,-97.75632,1963
30.406186,-97.501327,1984
30.416983,-97.73403,1985
30.295745,-97.775631,1947
30.446105,-97.586851,1989
30.226,-97.840289,1982
30.443584,-97.612688,1996
30.425743,-97.694217,1991
30.294525,-97.496573,1965
30.161366,-97.826582,2000
30.419338,-97.898222,1998
30.352557,-97.839204,1984
30.166911,-97.593741,2000
30.488239,-97.601437,2010
30.2192,-97.89517,2003
30.42091,-97.856516,1999
30.335922,-97.746832,1960
30.42455,-97.709114,1982
30.267852,-97.717818,1941
30.221901,-97.816797,2001
30.269012,-97.881214,2018
30.378615,-97.693074,1980
30.356461,-97.52299,2014
30.214271,-97.90846,1982
30.442938,-97.928922,2007
30.469554,-97.776022,1977
30.39035,-97.520613,2002
30.298871,-97.819518,1971
30.47263,-97.679486,1971
30.092165,-97.67553,1979
30.20278,-97.845895,1984
30.303887,-97.775299,1985
30.527165,-97.701583,1985
30.369634,-98.007515,2002
30.220106,-97.857752,1991
30.501514,-97.573815,2000
30.189548,-97.842977,1994
30.320507,-97.737785,2014
30.367481,-97.518058,2007
30.359756,-97.698465,1967
30.454033,-97.646783,1983
30.417372,-97.892011,2006
30.36509,-97.494339,2001
30.448431,-97.51333,1994
30.318589,-97.787579,1998
30.22513,-97.71684,2006
30.225394,-97.565191,1964
30.490017,-97.920008,1962
30.323711,-97.858718,2003
30.511021,-97.906314,1998
30.469328,-97.780086,1978
30.364534,-97.967053,2006
30.477766,-97.546907,1984
30.426126,-97.921815,1978
30.156554,-97.738811,1999
30.429915,-97.826324,1999
30.262539,-97.76191,2008
30.468736,-97.784129,1984
30.157679,-97.864923,1994
30.299334,-97.884137,1993
30.172525,-97.862103,1987
30.24546,-97.551099,1984
30.037058,-97.815582,2006
30.241889,-97.556746,1985
30.31706,-97.697222,1955
30.32518,-97.528715,2003
30.243022,-98.003578,1980
30.191641,-97.986831,2004
30.432722,-97.798254,1985
30.274654,-97.791959,1981
30.282756,-97.480029,1997
30.332274,-97.561871,2004
30.376223,-97.801902,1986
30.474957,-97.538736,2000
30.458719,-97.653741,1994
30.130445,-97.837241,1985
30.336969,-97.905108,1984
30.361317,-97.548144,2007
30.23993,-97.578426,2010
30.328665,-97.994707,1996
30.357248,-97.540998,2007
30.486226,-97.781982,
30.122385,-97.597323,2001
30.347787,-97.874038,1976
30.219692,-97.770464,1955
30.393779,-97.773029,1995
30.352374,-97.753169,1996
30.276442,-97.686864,1957
30.513691,-97.81925,1994
30.393311,-97.80611,1996
30.223126,-97.627955,1988
30.220749,-97.737364,1964
30.490653,-97.650415,2015
30.274654,-97.61804,2004
30.456595,-97.630912,2005
30.395453,-97.778055,1972
30.507269,-97.819916,1996
