school_rating,house_zipcode
3.3333333333333335,78640
3.6666666666666665,78640
3.3333333333333335,78640
3.6666666666666665,78640
3.3333333333333335,78640
3.6666666666666665,78640
3.6666666666666665,78640
3.6666666666666665,78640
3.6666666666666665,78640
2.3333333333333335,78640
3.6666666666666665,78640
3.6666666666666665,78640
3.3333333333333335,78640
3.6666666666666665,78640
3.3333333333333335,78640
4.666666666666667,78640
3.3333333333333335,78640
3.3333333333333335,78640
4.666666666666667,78640
3.3333333333333335,78640
4.5,78640
3.3333333333333335,78640
4.666666666666667,78640
3.3333333333333335,78640
4.666666666666667,78640
3.3333333333333335,78640
3.3333333333333335,78640
3.3333333333333335,78640
3.3333333333333335,78610
6.0,78610
4.666666666666667,78640
6.0,78610
6.0,78610
4.666666666666667,78610
4.666666666666667,78610
4.666666666666667,78610
6.0,78610
6.0,78610
3.3333333333333335,78610
3.3333333333333335,78640
4.666666666666667,78610
6.0,78610
3.3333333333333335,78610
4.666666666666667,78610
3.3333333333333335,78610
4.666666666666667,78610
4.666666666666667,78610
3.3333333333333335,78610
3.3333333333333335,78610
4.666666666666667,78610
3.3333333333333335,78610
6.0,78610
3.3333333333333335,78610
3.3333333333333335,78610
4.666666666666667,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.5,78610
3.3333333333333335,78610
5.0,78610
6.0,78610
3.3333333333333335,78610
3.6666666666666665,78610
3.3333333333333335,78610
3.6666666666666665,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.6666666666666665,78610
3.6666666666666665,78610
3.6666666666666665,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.6666666666666665,78610
3.3333333333333335,78610
3.6666666666666665,78610
3.6666666666666665,78610
3.3333333333333335,78610
3.5,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
4.333333333333333,78616
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.6666666666666665,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78640
3.0,78610
3.3333333333333335,78610
3.3333333333333335,78610
4.0,78616
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.6666666666666665,78617
3.3333333333333335,78610
4.333333333333333,78612
3.0,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.3333333333333335,78610
6.5,78610
3.3333333333333335,78610
3.3333333333333335,78610
3.5,78617
3.0,78747
3.3333333333333335,78610
3.6666666666666665,78617
3.6666666666666665,78617
3.5,78610
3.0,78747
6.5,78610
3.0,78747
3.6666666666666665,78719
3.0,78747
3.0,78747
3.0,78747
4.333333333333333,78612
3.0,78747
3.6666666666666665,78610
3.6666666666666665,78610
3.6666666666666665,78610
3.6666666666666665,78610
3.6666666666666665,78610
3.6666666666666665,78610
3.6666666666666665,78610
3.0,78747
2.6666666666666665,78719
4.333333333333333,78612
3.6666666666666665,78719
3.6666666666666665,78610
4.333333333333333,78612
3.6666666666666665,78719
6.5,78610
3.6666666666666665,78610
3.5,78719
3.6666666666666665,78610
3.6666666666666665,78610
3.6666666666666665,78719
4.333333333333333,78612
3.0,78747
3.5,78719
3.6666666666666665,78719
2.6666666666666665,78610
4.5,78617
3.0,78747
4.333333333333333,78612
3.0,78747
3.6666666666666665,78719
3.6666666666666665,78719
3.0,78747
3.5,78719
4.333333333333333,78612
4.333333333333333,78612
3.6666666666666665,78610
2.6666666666666665,78747
2.6666666666666665,78747
3.0,78747
3.0,78747
2.6666666666666665,78719
4.333333333333333,78612
3.6666666666666665,78719
2.6666666666666665,78610
3.5,78617
3.0,78747
3.6666666666666665,78610
3.6666666666666665,78610
3.0,78719
3.0,78719
3.0,78719
3.0,78719
2.5,78747
3.0,78747
6.5,78610
2.6666666666666665,78747
2.6666666666666665,78747
3.6666666666666665,78719
3.25,78747
5.0,78747
4.333333333333333,78652
4.333333333333333,78652
4.333333333333333,78652
3.0,78747
3.6666666666666665,78719
2.6666666666666665,78747
3.0,78747
3.0,78719
2.6666666666666665,78747
2.6666666666666665,78747
2.6666666666666665,78610
4.333333333333333,78652
4.333333333333333,78652
4.333333333333333,78652
7.0,78610
2.6666666666666665,78747
7.0,78610
2.6666666666666665,78610
2.6666666666666665,78747
4.333333333333333,78652
4.333333333333333,78652
4.333333333333333,78652
4.333333333333333,78652
4.333333333333333,78652
4.333333333333333,78652
3.5,78719
4.333333333333333,78652
4.0,78747
4.0,78747
4.333333333333333,78652
4.333333333333333,78652
2.6666666666666665,78610
2.6666666666666665,78747
4.333333333333333,78652
3.6666666666666665,78617
4.333333333333333,78652
2.6666666666666665,78610
5.0,78747
2.6666666666666665,78747
2.6666666666666665,78747
4.333333333333333,78652
3.6666666666666665,78617
3.5,78617
4.333333333333333,78652
4.0,78610
4.333333333333333,78652
3.0,78719
3.5,78719
4.333333333333333,78652
3.6666666666666665,78617
4.0,78747
4.333333333333333,78652
4.333333333333333,78652
4.0,78747
2.6666666666666665,78747
2.6666666666666665,78747
4.333333333333333,78652
4.333333333333333,78652
3.6666666666666665,78617
4.0,78747
5.0,78747
4.333333333333333,78652
4.333333333333333,78652
4.333333333333333,78652
4.0,78747
3.6666666666666665,78719
4.333333333333333,78652
4.0,78617
