Latitude,Longitude,School Name,School Address,School Rating,zipcode
30.490701,-97.705277,Deep Wood Elementary School,"705 Saint Williams Avenue, Round Rock, TX  78681",6,78681
30.233019,-97.89403399999999,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9,78749
30.199178999999997,-97.803962,Cunningham Elementary School,"2200 Berkeley Avenue, Austin, TX  78745",2,78745
30.361849,-97.54993,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5,78653
30.379641999999997,-97.757069,Hill Elementary School,"8601 Tallwood Drive, Austin, TX  78759",8,78759
30.063327,-97.714443,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3,78747
30.423237,-97.64125899999999,Wieland Elementary School,"900 Tudor House Road, Pflugerville, TX  78660",4,78660
30.439805,-97.676659,Northwest Elementary School,"14014 Thermal Drive, Austin, TX  78728",3,78728
30.247939000000002,-97.991176,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8,78738
30.138627000000003,-97.725617,Hillcrest Elementary School,"6910 East William Cannon Drive, Austin, TX  78744",2,78744
30.346984000000003,-97.465034,Neidig Elementary School,"13700 County Line Road, Elgin, TX  78621",2,78621
30.340269,-97.607802,Bluebonnet Trail Elementary School,"11316 Farmhaven Road, Austin, TX  78754",6,78754
30.372079,-97.87796,Steiner Ranch Elementary School,"4001 North Quinlan Park Road, Austin, TX  78732",9,78732
30.368716999999997,-97.960113,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7,78645
30.36624,-97.670015,Graham Elementary School,"11211 Tom Adams Drive, Austin, TX  78753",8,78753
30.45174,-97.76841,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX  78729",6,78729
30.09334,-97.682424,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3,78747
30.335784000000004,-97.963851,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9,78738
30.413898,-97.757756,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8,78759
30.419921000000002,-97.755832,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8,78759
30.341565999999997,-97.90929,River Ridge Elementary School,"12900 Tierra Grande Trail, Austin, TX  78732",10,78732
30.438328000000002,-97.81044200000001,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10,78750
30.116346000000004,-97.67958,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3,78747
30.132658000000003,-97.593266,Del Valle Elementary School,"5400 Ross Road, Travis County, TX  78617",3,78617
30.325121999999997,-97.528921,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.29937,-97.640539,Overton Elementary School,"7201 Colony Loop Drive, Austin, TX  78724",4,78724
30.3375,-97.742008,Gullett Elementary School,"6310 Treadwell Boulevard, Austin, TX  78757",10,78757
30.421674,-97.758291,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8,78759
30.079349,-97.751428,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3,78747
30.236226000000002,-97.76074399999999,Dawson Elementary School,"3001 South 1st Street, Austin, TX  78704",6,78704
30.427832000000002,-97.892225,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX  78726",6,78726
30.465384999999998,-97.57164399999999,Riojas Elementary School,"3400 Crispin Hall Lane, Pflugerville, TX  78660",7,78660
30.176059000000002,-97.839972,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4,78748
30.539524,-97.718911,Cactus Ranch Elementary School,"2901 Goldenoak Circle, Round Rock, TX  78681",10,78681
30.321479999999998,-97.786464,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX  78731",9,78731
30.392491999999997,-97.80279,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX  78759",10,78759
30.417733000000002,-97.66532600000001,Ruth Barron Elementary School,"14850 Harris Ridge Boulevard, Pflugerville, TX  78660",6,78660
30.458595000000003,-97.570808,Riojas Elementary School,"3400 Crispin Hall Lane, Pflugerville, TX  78660",7,78660
30.375583000000002,-97.69379,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX  78758",7,78758
30.25122,-97.556973,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2,78653
30.387624,-97.68941600000001,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX  78758",7,78758
30.347444,-97.99083,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8,78738
30.328033,-97.69515200000001,Pickle Elementary School,"1101 Wheatley Avenue, Austin, TX  78752",2,78752
30.314663,-97.69848,Harris Elementary School,"1711 Wheless Lane, Austin, TX  78723",4,78723
30.119864,-97.818382,Menchaca Elementary School,"12120 Manchaca Rd, Austin, TX 78748",5,78748
30.474712,-97.57542600000001,Riojas Elementary School,"3400 Crispin Hall Lane, Pflugerville, TX  78660",7,78660
30.336403999999998,-97.764175,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX  78731",9,78731
30.346496000000002,-97.727407,Brentwood Elementary School,"6700 Arroyo Seco, Austin, TX  78757",7,78757
30.264615999999997,-97.865864,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX  78735",6,78735
30.063737,-97.560917,Cedar Creek Elementary School,"5582 Farm to Market Road 535, Cedar Creek, TX  78612",6,78612
30.274126000000003,-97.47519100000001,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.216765999999996,-97.899739,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9,78749
30.172783000000003,-97.688677,Smith Elementary School,"4209 Smith School Road, Austin, TX  78744",5,78744
30.125542,-97.738536,Blazier Elementary School,"8601 Nuckols Crossing Road, Austin, TX  78744",7,78744
30.368758000000003,-97.697767,Guerrero Thompson,"102 E Rundberg Ln, Austin, TX 78753",7,78753
30.232882,-97.69878800000001,Allison Elementary School,"515 Vargas Road, Austin, TX  78741",7,78741
30.179149,-97.845897,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4,78748
30.207539,-97.47977,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2,78653
30.494378,-97.760304,Elsa England Elementary School,"8801 Pearson Ranch Road, Austin, TX  78717",10,78717
30.233940999999998,-97.891758,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9,78749
30.382820000000002,-97.710188,Cook Elementary School,"1511 Cripple Creek Drive, Austin, TX  78758",5,78758
30.177658,-97.80960300000001,Casey Elementary School,"9400 Texas Oaks Drive, Austin, TX  78748",4,78748
30.182888000000002,-97.857569,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4,78748
30.313603999999998,-97.931221,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9,78738
30.440601,-97.706142,Wells Branch Elementary School,"14650 Merrilltown Drive, Austin, TX  78728",4,78728
30.416598999999998,-97.734563,Davis Elementary School,"5214 Duval Road, Austin, TX  78727",6,78727
30.231135,-97.783301,Joslin Elementary School,"4500 Manchaca Road, Austin, TX  78745",4,78745
30.489015999999996,-97.60589499999999,Dearing Elementary School,"4301 Gattis School Rd, Pflugerville, TX 78660",5,78660
30.222107,-97.787182,Joslin Elementary School,"4500 Manchaca Road, Austin, TX  78745",4,78745
30.309408,-97.514248,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.160391999999998,-97.854178,Baranoff Elementary School,"12009 Buckingham Gate Road, Austin, TX  78748",9,78748
30.155723,-97.871613,Baranoff Elementary School,"12009 Buckingham Gate Road, Austin, TX  78748",9,78748
30.283358000000003,-97.470402,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.222471000000002,-97.861467,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX  78735",6,78735
29.994435,-97.817311,Susie Fuentes Elementary School,"901 Goforth Road, Kyle, TX  78640",4,78640
30.167657000000002,-97.841474,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4,78748
30.463773,-97.582359,Murchison Elementary School,"2215 Kelly Lane, Pflugerville, TX  78660",8,78660
30.351706,-97.86869,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10,78732
30.412427,-97.487085,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5,78653
30.205857,-97.993837,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8,78739
30.293916999999997,-97.72242299999999,Lee Elementary School,"3308 Hampton Road, Austin, TX  78705",8,78705
30.102453000000004,-97.715634,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3,78747
30.331093,-97.984181,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8,78738
30.211595000000003,-97.884089,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9,78749
30.434277,-97.813068,Canyon Creek Elementary School,"10210 Ember Glen Drive, Austin, TX  78726",10,78726
30.225635999999998,-97.930387,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10,78739
30.162734999999998,-97.830184,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4,78748
30.275142,-97.687216,Sims Elementary School,"1203 Springdale Road, Austin, TX  78721",3,78721
30.472371000000003,-97.635489,Windermere Elementary School,"1101 Picadilly Drive, Pflugerville, TX  78660",7,78660
