house_zipcode,school_rating
78610,3.8663663663663685
78612,3.9425925925925944
78613,7.5712788259958055
78615,2.6666666666666665
78616,4.166666666666666
78617,3.3012820512820493
78620,8.333333333333334
78621,3.401041666666666
78634,6.696969696969697
78640,3.6505376344086016
78641,7.211267605633806
78645,6.878205128205128
78652,5.483539094650206
78653,3.6192411924119257
78660,6.3449913644214115
78664,6.236666666666668
78665,6.988505747126436
78669,8.291666666666668
78681,8.618659420289859
78682,6.111111111111111
78691,6.0
78702,4.606060606060606
78703,6.758503401360541
78704,5.571651090342677
78705,3.8333333333333335
78717,8.595614035087715
78719,3.4285714285714293
78721,3.4444444444444446
78723,3.289855072463768
78724,3.0
78725,3.011363636363636
78726,8.265151515151514
78727,5.58908045977012
78728,4.370833333333334
78729,6.552631578947366
78730,8.534143518518515
78731,7.913934426229505
78732,8.70980392156863
78733,9.39423076923078
78734,7.134099616858238
78735,8.058457711442786
78736,8.544715447154466
78737,8.914957264957252
78738,8.602941176470587
78739,8.554131054131068
78741,2.777777777777778
78742,3.2222222222222228
78744,2.5560606060606044
78745,4.541984732824423
78746,8.592361111111114
78747,3.8644278606965186
78748,5.381101813110183
78749,7.630081300813013
78750,8.783840947546546
78751,3.753333333333334
78752,3.5675675675675675
78753,4.079545454545452
78754,5.080000000000001
78756,5.0
78757,5.8159722222222205
78758,4.029202279202277
78759,8.039723661485308
