,Offense Desc,Offense Category,Address,lat,lng,Severity
2523,BURGLARY OF RESIDENCE         ,Burglary,1803 E ANDERSON LN EB 78752,30.3290876,-97.6802072,2
2524,THEFT                         ,Theft,5203 CAMERON RD 78723,30.3102279,-97.7080698,1
2525,AUTO THEFT                    ,Auto Theft,12349 METRIC BLVD 78758,30.4097398,-97.6947107,3
2526,BURGLARY OF RESIDENCE         ,Burglary,301 W WILLIAM CANNON DR 78745,30.1940724,-97.7826136,2
2527,BURGLARY OF RESIDENCE         ,Burglary,7202 INSPIRATION DR 78724,30.3094597,-97.6535606,2
2528,THEFT                         ,Theft,9300 S IH 35 SVRD SB 78748,30.165205,-97.7903534,1
2529,AGG ASSAULT                   ,Agg Assault,2010 BURTON DR 78741,30.2335557,-97.7319399,4
2530,AUTO THEFT                    ,Auto Theft,6405 S IH 35 SVRD NB 78744,30.1914238,-97.7671351,3
2531,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,105 VICTOR ST 78753,30.3764504,-97.6822186,4
2532,THEFT BY SHOPLIFTING          ,Theft,2508 E RIVERSIDE DR 78741,30.2364302,-97.7221515,1
2533,BURGLARY OF RESIDENCE         ,Burglary,1102 S CONGRESS AVE 78704,30.2530439,-97.7511677,2
2534,BURGLARY OF RESIDENCE         ,Burglary,4801 COTTONWOOD ST 78744,30.1964081,-97.7327699,2
2535,BURGLARY OF VEHICLE           ,Theft,9345 E US 290 HWY SVRD EB 78724,30.326983,-97.642863,3
2536,THEFT BY SHOPLIFTING          ,Theft,11200 LAKELINE MALL DR 78613,30.4703854,-97.806965,1
2537,BURGLARY OF RESIDENCE         ,Burglary,1500 FARO DR 78741,30.2329844,-97.7141819,2
2538,THEFT FROM PERSON             ,Theft,5600 COUGAR DR 78745,30.2093553,-97.7847841,1
2539,AGG ROBBERY/DEADLY WEAPON     ,Robbery,9024 NORTHGATE BLVD 78758,30.3700305,-97.7173745,5
2540,THEFT BY SHOPLIFTING          ,Theft,9300 S IH 35 SVRD SB 78748,30.165205,-97.7903534,1
2541,BREACH OF COMPUTER SECURITY   ,Theft,507 PRESSLER ST 78703,30.2732874,-97.7603203,1
2542,THEFT OF AUTO PARTS           ,Theft,8312 N IH 35 SB 78753,30.3470435,-97.6970982,1
2543,BURGLARY OF VEHICLE           ,Theft,7594 CHEVY CHASE DR 78752,30.3401583,-97.7045673,3
2544,BURGLARY OF VEHICLE           ,Theft,3200 S LAMAR BLVD 78704,30.2419115,-97.7853949,3
2545,THEFT FROM AUTO               ,Theft,8906 WALL ST 78754,30.342326,-97.6715344,1
2546,BURGLARY OF VEHICLE           ,Theft,8515 S IH 35 NB 78744,30.171053,-97.781976,3
2547,BURGLARY OF VEHICLE           ,Theft,2101 BURTON DR 78741,30.2324319,-97.7313486,3
2548,BURGLARY OF VEHICLE           ,Theft,4911 S IH 35 SVRD NB 78744,30.2068634,-97.7561787,3
2549,THEFT                         ,Theft,1824 E SLAUGHTER LN 78747,30.1528179,-97.7685426,1
2550,BURGLARY OF VEHICLE           ,Theft,7619 N IH 35 SVRD NB 78752,30.3369319,-97.6996422,3
2551,BURGLARY OF VEHICLE           ,Theft,1314 WESTOVER RD 78703,30.2971653,-97.7516439,3
2552,BURGLARY OF VEHICLE           ,Theft,7240 NORTHEAST DR 78723,30.3223863,-97.6799038,3
2553,BURGLARY OF VEHICLE           ,Theft,2021 BLUEBONNET LN 78704,30.2510663,-97.7738031,3
2554,THEFT                         ,Theft,1516 FERGUSON LN 78754,30.345933,-97.67498,1
2555,BURGLARY OF VEHICLE           ,Theft,3200 S LAMAR BLVD 78704,30.2419115,-97.7853949,3
